shopId,shopName,shopGlng,shopGlat,shopPower,shopType,mainCategoryName,categoryURLName,shopGroupId,categoryName,comNum
10005413,府邸推拿足道,121.232739,31.033194,45,30,足疗按摩,life,3713368,休闲娱乐,87
10022516,猴子也疯狂,121.442589,31.223458,40,30,DIY手工坊,life,10022506,NULL,121
10218866,和盛堂,121.418441,31.255775,40,30,足疗按摩,life,2733316,休闲娱乐,579
10328622,201314音乐爱情主题休闲吧,121.647399,31.026378,35,30,茶馆,life,10328622,休闲娱乐,123
10331116,康友四季保健会所,121.515956,31.157558,50,30,足疗按摩,life,2037028,休闲娱乐,137
10339139,六大茶山,121.411937,31.213251,35,30,茶馆,life,10339139,休闲娱乐,39
10340085,爱丁堡足道,121.30928,31.06284,45,30,足疗按摩,life,70448359,休闲娱乐,89
10341531,大桶大足浴,121.438424,31.22804831,50,30,足疗按摩,life,1916236,休闲娱乐,921
10343604,江苏路街道社区文化活动中心,121.430849,31.21773,35,30,更多文化艺术,life,10343604,休闲娱乐,6
10344781,品庄FancyCellar,121.4796709,31.2105548,40,30,酒吧,life,10344781,休闲娱乐,7
10432395,乐SPA养生馆,121.443081000077,31.1761559999509,45,30,足疗按摩,life,10432395,休闲娱乐,202
10491303,尚源汗蒸养生馆,121.310761,31.063279,35,30,洗浴,life,10491303,休闲娱乐,10
10599828,Ying Spa会所,121.4578,31.22208,45,30,中医养生,life,10599828,休闲娱乐,1041
10644774,大拇指绿色葡萄园,121.299253,31.400955,35,30,采摘/农家乐,life,10644774,休闲娱乐,4
10646449,璞缇客spa会所,121.39264000017,31.0914400000181,40,30,足疗按摩,life,5165264,休闲娱乐,40
10648529,指压油压,121.53732,31.31442,35,30,足疗按摩,life,10648529,休闲娱乐,2
10651109,汇源坊,121.065463,31.092145,0,30,更多文化艺术,life,10651109,休闲娱乐,0
10651121,3D.JP,121.46875,31.20863,35,30,DIY手工坊,life,10651121,休闲娱乐,12
10651133,STORY,121.06748,31.0916,0,30,更多文化艺术,life,10651133,休闲娱乐,0
10651580,敬一堂,121.493995,31.226844,40,30,更多文化艺术,life,10651580,休闲娱乐,3
10651946,养乐天境,121.487149,31.23004,35,30,足疗按摩,life,10651946,休闲娱乐,51
10656572,Red Bar,121.218101,31.038509,30,30,酒吧,life,10656572,休闲娱乐,15
10662171,宜川社区文化活动中心,121.44236,31.259196,35,30,更多文化艺术,life,10662171,休闲娱乐,4
10662187,真如社区文化活动中心,121.40087,31.25617,35,30,更多文化艺术,life,10662187,休闲娱乐,4
10663868,Tops,121.50655,31.249849,45,30,酒吧,life,10663868,休闲娱乐,666
10667220,畅安阁养生会馆,121.436314,31.185233,40,30,足疗按摩,life,10667220,休闲娱乐,57
11162870,中辰足浴中心,121.46508,31.27803,35,30,足疗按摩,life,11162870,休闲娱乐,9
11546986,驿站普洱茶庄,121.554509,31.224161,35,30,茶馆,life,11546986,休闲娱乐,13
11550236,颐景茶道,121.404577,31.266335,45,NULL,NULL,NULL,NULL,NULL,49
11550415,Connoisseur,121.4482,31.20771,50,30,酒吧,life,11550415,休闲娱乐,227
11551992,马陆明德葡萄园,121.3135147,31.3924911,35,30,采摘/农家乐,life,11551992,休闲娱乐,3
11558099,乐窑陶吧,121.414138,31.269938,40,30,DIY手工坊,life,3631831,休闲娱乐,80
11561395,嘉定图书馆,121.263267,31.350769,50,30,图书馆,NULL,NULL,NULL,752
11564299,康梧盲人保健按摩中心,121.57356262207,31.152214050293,40,30,足疗按摩,life,11564299,休闲娱乐,178
11570587,源源流长足道,121.57849,31.251523,30,30,足疗按摩,life,11570587,休闲娱乐,4
11576105,尚上酒吧,121.364564,31.249277,30,30,酒吧,life,11576105,休闲娱乐,61
12032343,春会馆,121.43669,31.32061,50,30,足疗按摩,life,12032343,休闲娱乐,572
12593235,嘉定新城（马陆镇）社区文化活动中心,121.28286,31.331556,0,30,更多文化艺术,life,12593235,休闲娱乐,0
12598216,雅泰SPA足道会馆,121.431455,31.249553,50,30,足疗按摩,life,66394746,休闲娱乐,1334
12599172,足留香足浴会所,121.20607,31.009814,35,30,足疗按摩,life,12599172,休闲娱乐,38
12599332,众凯棋牌,121.46717,31.22579,35,30,棋牌室,life,12599332,休闲娱乐,18
12599817,Luccios Wine Cellar酒庄,121.47314,31.21658,35,30,酒吧,life,12599817,休闲娱乐,10
13117261,名都棋牌室,121.39456,31.19117,35,30,棋牌室,life,13117261,休闲娱乐,16
13658022,布梵massage,121.420263,31.255146,45,30,足疗按摩,life,13658022,休闲娱乐,493
13659710,云庭足浴spa会馆,121.35266,31.416775,35,30,足疗按摩,life,13659710,休闲娱乐,14
13661472,Vgear-Live,121.47696,31.22126,45,30,酒吧,life,13661472,休闲娱乐,547
13679985,亿恋足浴保健,121.2036406,31.02850684,35,30,足疗按摩,life,13679985,休闲娱乐,4
13706802,玛蜂旅游真人CS,121.06829,31.239341,35,30,真人CS,life,13706802,休闲娱乐,11
13707650,扬州经典足浴,121.522575,31.23859,35,30,足疗按摩,life,13707650,休闲娱乐,6
13708163,丰汇唐韵茶楼,121.49222,31.22624,35,30,茶馆,life,13708163,休闲娱乐,5
13709408,新殿缘,121.429218,31.206403,35,30,足疗按摩,life,4699977,休闲娱乐,13
13712465,顺经堂,121.405815124512,31.1614456176758,45,30,足疗按摩,life,13712465,休闲娱乐,58
13715052,镭战大联盟真人CS,121.18037,31.06488,40,30,真人CS,life,2030881,休闲娱乐,158
13717118,牵缘DIY巧克力工坊,121.23367,31.00557,35,30,DIY手工坊,life,13717118,休闲娱乐,33
13721103,大益茶,121.444369999816,31.2406599999801,40,30,茶馆,life,13721103,休闲娱乐,64
13723200,永济堂中医推拿艾灸馆,121.37661,31.11196,50,30,足疗按摩,life,13723200,NULL,397
13726459,西元弓坊,121.354137,31.151826,35,30,更多休闲娱乐,life,13726459,休闲娱乐,1
13730310,窑民部落陶艺陶吧,121.46832921230316,31.208058931139238,40,30,DIY手工坊,life,13730310,休闲娱乐,1109
13730729,森蓝足浴休闲,121.283859,31.20134,35,30,足疗按摩,life,13730729,休闲娱乐,4
13740357,如果艾养生馆,121.40337959259,31.218597732302,40,30,足疗按摩,life,13740357,休闲娱乐,462
13742654,手工DIY天然石手链,121.202669999892,31.0090499999501,35,30,DIY手工坊,life,13742654,休闲娱乐,1
13743032,西界,121.50843,31.30375,40,30,酒吧,life,13743032,休闲娱乐,523
13752032,艺壶茗茶,121.553883,31.224035,35,30,茶馆,life,13752032,休闲娱乐,14
13753155,博尚棋牌会所,121.400583,31.289161,40,30,棋牌室,life,13753155,休闲娱乐,19
13764948,时珍本草,121.57534,31.11783,50,30,足疗按摩,life,9977167,休闲娱乐,941
13764972,克蕾儿英式酒吧,121.20885,31.00987,35,30,酒吧,life,13764972,休闲娱乐,9
13769199,喫茶去茶社,121.425271,31.21934,50,30,茶馆,life,4204267,休闲娱乐,512
13780460,斗茗居,121.4875495,31.40780395,35,30,茶馆,life,13780460,休闲娱乐,6
13780527,Luna&apos;s Cafe Bar,121.387096,31.314941,40,30,酒吧,life,13780527,休闲娱乐,65
13781131,凯迪新都会,121.51821,31.301472,35,30,更多休闲娱乐,life,13781131,休闲娱乐,2
13782367,马陆必成葡萄园,121.307929,31.39857,35,30,采摘/农家乐,life,13782367,休闲娱乐,7
13783386,一韵,121.411860000121,31.2132259999984,35,30,茶馆,life,13783386,休闲娱乐,4
13783927,RT JAZZ BAR,121.38623,31.206929,45,30,酒吧,life,13783927,休闲娱乐,77
13785315,中润养生,121.520071,31.196162,50,30,足疗按摩,life,13785315,休闲娱乐,387
13787475,IRISH PUB 爱尔兰咖啡馆,121.477069,31.234018,40,30,酒吧,life,13787475,休闲娱乐,126
