shopId,shopName,shopGlng,shopGlat,shopPower,shopType,mainCategoryName,categoryURLName,shopGroupId,categoryName,comNum
10013339,福音堂,121.5059591,31.06998468,35,35,名胜古迹,attraction,10013339,周边游,3
10017572,刘海粟旧居,121.4714397,31.21562561,35,35,名胜古迹,attraction,10017572,周边游,12
10343990,安垦建国406,121.45321,31.20366,35,35,创意园区,attraction,10343990,周边游,2
10649912,龙王庙,121.6964504,31.27506363,35,35,名胜古迹,attraction,10649912,周边游,8
10652262,香港大学上海学习中心,121.4845395,31.24406238,35,35,美术馆,attraction,10652262,周边游,8
10652552,山塘民俗馆,121.27144,30.7882,0,35,博物馆,attraction,10652552,周边游,0
10657462,娄塘古镇,121.21641,31.430015,35,35,名胜古迹,attraction,10657462,NULL,19
10659420,小美术馆,121.44963,31.247953,35,35,美术馆,attraction,10659420,周边游,1
10659834,八么田果园有限公司,121.1071,30.97429,35,35,自然风光,attraction,10659834,周边游,11
11552578,大团镇,121.735604999836,30.9740929999997,35,35,观光街区,attraction,11552578,周边游,1
11557184,安平桥,121.351171999816,31.1579059999852,30,35,其他景点,attraction,11557184,周边游,1
11561461,金山城市沙滩骑马场,121.33652,30.7057,35,35,自然风光,attraction,11561461,周边游,3
11561868,佳豪国际游艇会,121.559999,31.269989,40,35,其他景点,attraction,11561868,周边游,3
11563610,嘉定博物馆,121.251805,31.386902,50,35,博物馆,attraction,11563610,周边游,151
11564808,西城墙绿地,121.248379999971,31.3833099999891,35,35,自然风光,attraction,11564808,周边游,2
12590979,环球港博物馆,121.411666,31.232116,45,35,博物馆,attraction,12590979,周边游,319
12596939,连环画艺术长廊,121.411676,31.232177,35,35,美术馆,attraction,12596939,周边游,47
13670574,无线电科普教育基地,121.58722,30.86117,0,35,科学博物,attraction,13670574,周边游,0
13739225,城市最佳实践区,121.49533,31.20360902,35,35,观光街区,attraction,13739225,周边游,24
13746416,王建国油画艺术馆,121.51986,30.816304,0,35,美术馆,attraction,13746416,周边游,0
13776948,K11购物艺术中心空中花园,121.47366,31.22311,35,35,游乐园,attraction,13776948,周边游,117
13813516,码头历史文化馆,121.50715,31.21760361,35,35,名胜古迹,attraction,13813516,周边游,8
13818503,尊木汇·国际艺术广场,121.409628092,31.3100409614,35,35,美术馆,attraction,13818503,周边游,13
