shopId,shopName,shopGlng,shopGlat,shopPower,shopType,mainCategoryName,categoryURLName,shopGroupId,categoryName,comNum
10014723,卡卡西宠物店,121.395569,31.235821,50,95,宠物店,pet,10014723,宠物,57
10334006,宝多来宠物,121.45803,31.186237,35,95,宠物店,pet,2628421,宠物,152
11560179,52宠物,121.542824199986,31.2035180000167,0,95,宠物店,pet,11560179,宠物,0
11562257,上海元闲宠物用品有限公司,121.482941,31.254049,0,95,宠物店,pet,11562257,宠物,0
11573316,格瑞德宠物店,121.354945,31.346192,40,95,宠物店,pet,11573316,宠物,60
11580796,金桥葛医生宠物诊疗,121.601357,31.260867,50,95,宠物医院,pet,11580796,宠物,40
13426855,宠逗宠物,121.40157,31.150658,35,95,宠物店,pet,13426855,宠物,34
13661988,哆咪宠物,121.43305,31.27625,30,95,宠物店,pet,13661988,宠物,10
13662538,皓源宠物诊所,121.39979,31.014308,45,95,宠物医院,pet,13662538,宠物,53
13663875,博雯宠物诊所,121.11772,31.15259,35,95,宠物医院,pet,13663875,宠物,1
13665772,宠儿宠物,121.411949,31.23282,45,95,宠物店,pet,2941786,宠物,149
13703901,美育宠物沙龙,121.5211406,31.17930607,40,95,宠物店,pet,13703901,宠物,21
13726533,金丰维康宠物诊所,121.284291,31.203018,35,95,宠物医院,pet,13726533,宠物,47
13769410,动物疫病预防控制中心,121.36683,31.188158,35,95,宠物店,pet,3149500,宠物,6
13783677,梦精灵宠物店,121.21277,31.03256,35,95,宠物店,pet,13783677,宠物,3
13804851,迷雪高端宠物美容工作室,121.581216,31.119443,35,95,宠物店,pet,13804851,宠物,39
13824089,精灵部落宠物馆,121.43952,31.23798,35,95,宠物店,pet,13824089,宠物,10
13835372,晴天宠物,121.312583,31.058451,35,95,宠物店,NULL,NULL,NULL,1
13850364,悠悠宠物皮毛护理工作室,121.44445,31.27077,35,95,宠物店,pet,13850364,宠物,36
13881423,乐乐宠物,121.153569999801,31.2965700000101,40,95,宠物店,pet,13881423,宠物,13
13888498,丁丁宠物,121.3951206,31.20444392,20,95,宠物店,pet,13888498,宠物,18
13910588,诚兮宠物诊所,121.324048,31.245125,45,95,宠物医院,pet,13910588,宠物,41
13932639,景源宠物诊所,121.415777,31.26522,35,95,宠物医院,pet,2295289,宠物,74
14064340,广源宠物,121.52719,31.14453,35,95,宠物店,pet,14064340,宠物,8
14064422,乐乐宠物,121.350776,31.279628,40,95,宠物店,pet,14064422,宠物,11
14064896,咪宝宠物生活馆,121.52736,31.28463,0,95,宠物店,pet,14064896,宠物,0
14065014,开心宠物园,121.36015,31.15797,30,95,宠物店,pet,14065014,宠物,1
14065734,婗婗爱宠屋,121.28596,31.36623,0,95,宠物店,pet,14065734,宠物,0
14066543,波比宝贝宠物店,121.398877,31.086619,40,95,宠物店,pet,14066543,宠物,8
14066790,名犬家族,121.254698,31.369889,35,95,宠物店,pet,14066790,宠物,4
14067082,嘉丽宠物,121.473539,31.255365,40,95,宠物店,pet,14067082,宠物,4
14067402,茜茜宠物美容,121.43119,31.24534,35,95,宠物店,pet,14067402,宠物,9
14067675,见见宠物用品店,121.49776,31.20951,35,95,宠物店,pet,14067675,宠物,12
14067682,欢欢宠物乐园,121.49351,31.25734,35,95,宠物店,pet,14067682,宠物,1
14067699,艾莉宠物,121.4927,31.15439,30,95,宠物店,pet,14067699,宠物,0
14067747,酷狗靓猫宠物会所,121.353536,31.172579,50,95,宠物店,pet,14067747,NULL,78
14069083,达爱昱宠,121.41314,31.19281,0,95,宠物店,pet,14069083,宠物,0
14069140,宠物部落,121.482254,31.22256,35,95,宠物店,pet,14069140,宠物,4
14069977,爱特宠物,121.512359,31.27653,30,95,宠物店,pet,14069977,宠物,7
14070005,桢爱宠物用品,121.4312,31.2812,35,95,宠物店,pet,14070005,宠物,1
14071198,爱宠之家韩南宠物用品店,121.37957,31.1662,30,95,宠物店,pet,14071198,宠物,1
14071808,大一点宠物,121.34328,31.07853,35,95,宠物店,pet,14071808,宠物,9
14072400,心尚宠物,121.120664,31.150809,35,95,宠物店,pet,14072400,宠物,2
14072625,聚品宠物园,121.56375,31.25662,0,95,宠物店,pet,14072625,宠物,0
14072645,栖霞宠物,121.522759,31.238326,30,95,宠物店,pet,14072645,宠物,6
14073198,吉日宠物,121.48028,31.31323,35,95,宠物店,pet,14073198,宠物,3
14073329,大场镇兽医站,121.38493,31.31068,30,95,宠物店,pet,14073329,宠物,9
14073330,唯一宠物,121.38538,31.31075,35,95,宠物店,pet,14073330,宠物,10
14073460,咪诺宠物,121.37641,31.08796,0,95,宠物店,pet,14073460,宠物,0
14073671,皇佳宠物生活馆,121.36367,31.119246,35,95,宠物店,pet,14073671,宠物,1
14074068,琳达宠物,121.49056,31.34729,40,95,宠物店,pet,14074068,宠物,2
14074148,建新宠物诊所,121.26211291534423,31.387175140708788,50,95,宠物医院,pet,14074148,宠物,151
14074192,永太宠物,121.45537,31.20585,0,95,宠物店,pet,14074192,宠物,0
14074578,心缘宠物,121.494614,31.379641,30,95,宠物店,pet,14074578,宠物,5
14074838,遛遛宠物生活馆,121.18597,31.03914,40,95,宠物店,pet,14074838,宠物,14
14075535,宝宝宠物,121.369426,31.104194,30,95,宠物店,pet,14075535,宠物,5
14075951,旺旺宠物用品,121.45174,31.2325,40,95,宠物店,pet,14075951,宠物,15
14076148,优妮宝,121.706655,31.190209,35,95,宠物店,pet,14076148,宠物,3
14076379,旺宝宠物,121.41912,31.20594,35,95,宠物店,pet,14076379,宠物,5
14076862,小王水族馆,121.40299,31.21436,30,95,宠物店,pet,14076862,宠物,6
14076912,鑫爱宠物服务中心,121.57153,31.15428,35,95,宠物店,pet,14076912,宠物,1
14077454,天顺宠物保健院,121.46903,31.259369,0,95,宠物店,pet,14077454,宠物,0
14164417,千航轩宠物,121.4421853,31.23388485,40,95,宠物店,pet,14164417,宠物,210
14169169,贝康宠物诊所,121.46662,30.91174,30,95,宠物医院,pet,14169169,宠物,23
14170702,璞缘宠物,121.2766301,31.16231493,40,95,宠物店,pet,14170702,宠物,102
14405869,畜牧兽医站,121.32252,31.0634,30,95,宠物店,pet,14405869,宠物,2
14769250,大华宠物诊所,121.41381,31.2762,30,95,宠物医院,pet,14769250,宠物,54
14777237,枫泾镇畜牧兽医站,121.07267,30.864055,0,95,宠物医院,pet,14777237,宠物,0
14780794,畜牧兽医站,121.678688,31.263752,30,95,宠物医院,pet,14780794,宠物,2
14781106,乖乖宠物店,121.26337,31.113207,20,95,宠物店,pet,14781106,宠物,14
14816701,马桥镇畜牧兽医站,121.37838,31.03096,35,95,宠物医院,pet,14816701,宠物,1
14824809,亲亲宠物美容中心,121.448002,30.912219,30,95,宠物店,pet,14824809,宠物,2
14877327,咪宝宠物,121.3589,31.34787,30,95,宠物店,pet,14877327,宠物,6
14907842,诺雅龙猫宠物生活馆,121.36752,31.215651,50,95,宠物店,pet,14907842,宠物,127
14909157,杰畅宠物美容,121.351027,31.416284,35,95,宠物店,pet,14909157,宠物,3
14937387,贝蒂宠物生活馆,121.420756,31.277121,35,95,宠物店,pet,14937387,宠物,13
14937391,宠爱优佳,121.464717,31.264812,35,95,宠物店,pet,14937391,宠物,8
14937398,华霖水族,121.47534071181,31.314837782118,35,95,宠物店,pet,14937398,宠物,2
14937399,吉乐园宠物用品,121.39425537109,31.210035264757,35,95,宠物店,pet,14937399,宠物,18
14937405,来旺发宠物店,121.516275,31.198045,35,95,宠物店,pet,14937405,宠物,6
14937408,雷盟宠物用品商店,121.44161919488,31.325457899306,0,95,宠物店,pet,14937408,宠物,0
14937420,淘气宝宠物店,121.22174669054,31.017047797309,30,95,宠物店,pet,14937420,宠物,5
14937424,小王宠物会所,121.51743326823,31.278141276042,30,95,宠物店,pet,14937424,宠物,7
14937429,易趣文济宠物,121.47804,31.23336,0,95,宠物店,pet,14937429,宠物,0
14944132,龙轩水族馆,121.12379,31.15857,35,95,宠物店,pet,14944132,宠物,1
15025522,晓东健鸽中心,121.483879,31.213944,30,95,宠物店,pet,15025522,宠物,1
15093722,伊都宠物,121.31835,31.30988,30,95,宠物店,pet,15093722,宠物,25
15100495,汪汪爱上喵,121.633766,31.19958,35,95,宠物店,pet,15100495,宠物,20
15103191,咪咪宠物,121.538317,31.2874,35,95,宠物店,pet,15103191,宠物,24
15125662,宠物圣域,121.511126,31.278355,35,95,宠物店,pet,15125662,宠物,14
15595070,开心宠物屋,121.135568,31.155923,30,95,宠物店,pet,15595070,宠物,3
15595072,小机灵宠物用品商店,121.55710232205,31.180759006076,0,95,宠物店,pet,15595072,宠物,0
15601429,上海动物园百龄宠物世界,121.36198567708,31.199384765625,0,95,宠物店,pet,15601429,宠物,0
15862938,艳芳宠物生活馆,121.47859,31.26414,35,95,宠物店,pet,15862938,宠物,10
15864762,岚山宠物生活馆,121.554498,31.192865,30,95,宠物店,pet,15864762,宠物,16
15868625,爱朦宠物,121.46922,30.91431,35,95,宠物店,pet,15868625,宠物,29
15924579,狗仔队宠物沙龙,121.49326,31.330217,40,95,宠物店,pet,15924579,宠物,99
15954560,Bluebone宝乐堡宠物店,121.50294,31.22003,50,95,宠物店,pet,15954560,宠物,323
15957922,爱美丽宠物生活馆,121.68119113498,31.187631293403,35,95,宠物店,pet,15957922,NULL,6
15959408,时尚宝贝宠物会所,121.187123,31.032889,35,95,宠物店,pet,15959408,宠物,6
15959953,航鑫宠物美容,121.354894,31.17478,35,95,宠物店,pet,15959953,宠物,1
16965279,洋洋宠物之家,121.357291,31.399659,40,95,宠物店,pet,4111143,宠物,39
16976129,上海金山区睿金宠物医院,121.35551,30.73263,50,95,宠物医院,pet,16976129,宠物,49
17149240,波波宠物,121.4624183,31.26546776,35,95,宠物店,pet,17149240,宠物,14
17152436,LUXE-PET 御宠宠物美容工作室,121.43692,31.17445,40,95,宠物店,pet,17152436,宠物,22
17159495,宠儿宠物,121.580691,31.239287,50,95,宠物店,pet,2941786,宠物,146
17174580,Lucky宠物店,121.3676,31.365351,35,95,宠物店,pet,17174580,宠物,16
17198116,LovePEt乐芙派宠物生活馆,121.281504,31.203258,40,95,宠物店,pet,17198116,宠物,111
17224590,爱轩宠物医院,121.474907,31.268904,50,95,宠物店,pet,17224590,宠物,146
17412279,刘子龙宠物,121.012572,30.889085,35,95,宠物店,pet,17412279,宠物,1
17442873,诺同宠物店,121.569366,31.134819,40,95,宠物店,pet,17442873,宠物,54
17453255,乔巴小屋宠物店,121.566474,31.113987,0,95,宠物店,pet,17453255,宠物,0
17469596,珊珊宠物店,121.43944,31.266766,0,95,宠物店,pet,17469596,宠物,0
17614523,新干线宠物用品店,121.44955,31.23325,40,95,宠物店,pet,17614523,宠物,9
17636398,小狗之家,121.393592,31.179273,45,95,宠物店,pet,17636398,宠物,47
17643457,宠乐会,121.42775,31.19144,35,95,宠物店,pet,17643457,宠物,123
17684839,梦琦奇宠物店,121.31499,31.16543,35,95,宠物店,pet,17684839,宠物,29
17687051,宝贝宠物,121.188117,31.035279,0,95,宠物店,pet,17687051,宠物,0
17735306,亚麦宠物托运,121.48649,31.24249,35,95,宠物店,pet,17735306,宠物,10
17753291,Lovelypet宠物美容沙龙,121.548579,31.198236,40,95,宠物店,pet,17753291,宠物,34
17801637,喵小旺,121.4869576,31.21303075,40,95,宠物店,pet,17801637,宠物,64
17828165,爱的宠物,121.338083,30.725938,35,95,宠物店,pet,17828165,宠物,7
17856008,宝来富宠物生活馆,121.4776098,31.29006517,35,95,宠物店,pet,17856008,宠物,20
17872275,珂爱宠物,121.48403,31.20538,20,95,宠物店,pet,17872275,宠物,2
17872295,崂山宠物店,121.515801,31.238543,35,95,宠物店,pet,17872295,宠物,8
1797604,爱侣宠物医院,121.4458469,31.3145076,40,95,宠物医院,pet,1797604,宠物,285
1797610,爱侣宠物医院,121.52539,31.2148892,40,95,宠物医院,pet,1797604,宠物,170
1797613,爱侣宠物医院,121.39482,31.239177,40,95,宠物医院,pet,1797604,宠物,210
1797622,宝康宠物诊所,121.516384,31.308231,20,95,宠物医院,pet,1797619,宠物,149
1797661,广济宠物医院,121.488912,31.177077,30,95,宠物医院,pet,1797661,宠物,17
1797688,惠莉宠物商店,121.48748,31.2152,35,95,宠物医院,pet,1797688,宠物,35
1797694,芭比堂动物医院,121.550051,31.237807,50,95,宠物医院,pet,1797694,宠物,736
1797697,佳佳宠物诊所,121.41417,31.136382,35,95,宠物医院,pet,1797697,宠物,77
1797736,安安宠医,121.40526,31.130652,45,95,宠物医院,pet,1797736,宠物,337
1797754,申普宠物医院,121.397532,31.2463,30,95,宠物医院,pet,1797751,宠物,251
1797781,天使宠物医院,121.45583,31.26705,30,95,宠物医院,pet,1797781,宠物,311
1797784,天使宠物医院,121.532419,31.316724,20,95,宠物医院,pet,1797781,宠物,268
1797790,顽皮家族,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,658
1797799,香榭园宠物诊所,121.38252,31.21535,30,95,宠物医院,pet,1797799,宠物,152
1797802,小精灵宠物医院,121.470885,31.227546,30,95,宠物医院,pet,1797802,宠物,421
1797805,小顽皮宠物商店,121.47031,31.22999,30,95,宠物店,pet,1797805,宠物,7
18007381,彩虹宠物,121.402897,31.275935,45,95,宠物店,pet,18007381,宠物,45
18017796,Amigo Pet Hotel,121.37237,31.13344,45,95,宠物店,pet,18017796,宠物,81
18029918,茉莉宠物乐园,121.37293,31.13131,30,95,宠物店,pet,18029918,宠物,5
18051586,维拉宠物医院,121.11592,31.14249,35,95,宠物医院,pet,18051586,宠物,12
18077612,乐宠生活,121.387383,31.321081,35,95,宠物店,pet,18077612,宠物,6
18086959,芭芭拉宠物,121.488079,31.215181,35,95,宠物店,pet,18086959,宠物,92
18095544,宠宠宝贝,121.53395,31.318358,40,95,宠物店,pet,18095544,宠物,30
18137590,申生宠物医院,121.441078,31.236703,30,95,宠物医院,pet,18137590,宠物,105
18138044,上海金山爱辰宠物医院,121.328007,30.725605,35,95,宠物医院,pet,18138044,宠物,34
18142990,阳光宠物店,121.3666894881555,31.258850690555835,30,95,宠物店,pet,18142990,宠物,16
18171178,圣宠宠物店,121.554683,31.201661,40,95,宠物店,pet,18171178,宠物,141
18233452,80后兔妈兔宠乐园,121.348283,31.26608,40,95,宠物店,pet,18233452,宠物,21
18247546,诺拉宠物生活馆,121.4019739,31.152967,40,95,宠物店,pet,18247546,宠物,49
18310773,康城精灵宠物,121.359807,31.1002553,35,95,宠物店,pet,18310773,宠物,10
18340865,杨东水族,121.38256296,31.1526940856,30,95,宠物店,pet,18340865,宠物,0
18353794,木木宠物,121.368363,31.220985,45,95,宠物店,pet,6043351,宠物,85
18389015,极地星光犬舍,121.163695079346,31.0989269897611,0,95,宠物店,pet,18389015,宠物,1
18399357,亚洲宠物展览会,121.49017,31.181261,40,95,宠物店,pet,18399357,宠物,268
18527067,维妮宠物会馆,121.417734,31.00846,40,95,宠物店,pet,18527067,宠物,67
18542336,我家宠物,121.58927,31.090341,50,95,宠物店,pet,18542336,宠物,52
1859725,趣致宠物,121.510592,31.19404,40,95,宠物店,pet,1859725,宠物,22
18631005,识尚宠乐汇,121.36514,31.359817,40,95,宠物店,pet,18631005,宠物,70
18676173,爱豆萌宠生活馆,121.533236,31.182281,40,95,宠物店,pet,18676173,宠物,31
18767938,上海天天宠物托运公司,121.476937,31.2707,0,95,宠物店,pet,18767938,宠物,0
19114027,犬屋语,121.496985,31.398205,50,95,宠物店,pet,19114027,宠物,26
19156641,安安宠医,121.373126,31.119562,30,95,宠物医院,pet,4297952,宠物,50
