shopId,shopName,shopGlng,shopGlat,shopPower,shopType,mainCategoryName,categoryURLName,shopGroupId,categoryName,comNum
10004215,哈里老伯伯修鞋配匙,121.51704,31.22785,30,80,修鞋,other,10004215,生活服务,16
10004250,上航假期旅行社,121.511665,31.275997,30,80,旅行社,other,1798693,生活服务,1
10005746,王喜杂粮贸易,121.41136,31.29721,35,80,公司企业,other,10005746,生活服务,2
10007860,联珠电脑维修中心,121.395924,31.213324,40,80,电脑维修,other,10007860,生活服务,6
10009820,灯光音响桌椅沙发电视租赁,121.41238126122,31.1806220721203,30,80,公司企业,other,10009820,生活服务,0
10011449,热忱网络科技,121.439709999816,31.2455200000204,35,80,公司企业,other,10011449,生活服务,1
10011872,石化四村,121.339919999932,30.7141799999601,0,80,小区,other,10011872,生活服务,0
10012594,靓桑广告传媒,121.444893548431,31.2145551613202,35,80,公司企业,other,10012594,生活服务,1
10013191,上海德瑞旅行社,121.406014,31.265874,35,80,旅行社,other,10013191,生活服务,8
10023342,熙裕实业,121.3236118,31.23854392,0,80,公司企业,other,10023342,生活服务,0
10033028,中国联通,121.014153,30.886693,30,80,更多生活服务,other,1890967,生活服务,0
10198454,中国联通,121.3137692,30.88749649,30,80,联通营业厅,other,1890967,生活服务,0
10222274,中国联通,121.370159999968,31.1775900000299,30,80,联通营业厅,other,1890967,NULL,2
10290038,中国联通,121.484608,31.236377,30,80,联通营业厅,other,1890967,生活服务,12
10335650,中国电信,121.4526092,31.1827928,20,80,电信营业厅,other,2006353,生活服务,12
10337850,福奈特,121.4126,31.273122,30,80,洗衣店,other,1798051,生活服务,12
10338698,安心儿童智能安全书包,121.393343,31.159386,35,80,公司企业,other,10338698,生活服务,0
10339107,快照易,121.458020000129,31.242360000016,35,80,快照,other,10339107,生活服务,2
10341797,迪杰皮革贸易有限公司,121.474006,31.21385,30,80,公司企业,other,10341797,生活服务,0
10343877,同益里,121.467805714415,31.2306357142929,30,80,小区,other,10343877,生活服务,0
10343916,犹太人总会,121.4634795,31.23107033,35,80,更多生活服务,other,10343916,生活服务,4
10344557,中原地产,121.536638,31.300968,0,80,房屋地产,other,5151992,生活服务,0
10344876,企业营销服务网,121.59819,31.21063,35,80,网站,other,10344876,生活服务,1
10348480,千岛湖友好旅行社,121.476510000053,31.2356900000072,30,80,旅行社,other,10348480,生活服务,0
10450707,24视务所,121.4838156,31.29209095,30,80,更多生活服务,other,10450707,生活服务,0
10645139,证件照,121.371372,31.17646027,35,80,快照,other,10645139,生活服务,2
10652713,上海越扬教育信息咨询有限公司,121.4277593,31.18262851,0,80,公司企业,other,10652713,生活服务,2
10653262,晶兴刻字社,121.495884,31.260329,0,80,更多生活服务,other,10653262,生活服务,0
10653501,湘日图文广告设计制作有限公司,121.419421,31.255732,30,80,打印店,other,10653501,生活服务,9
10654093,曹杨新村,121.411,31.23436,40,80,小区,other,10654093,生活服务,1
10656030,流金网络监控安防,121.377750000062,31.2711199999926,30,80,公司企业,other,10656030,生活服务,0
10657953,佳能单反相机维修部,121.47088,31.21883,35,80,居家维修,other,10657953,生活服务,16
10659170,朗逸改装配件服务,121.440540000009,31.0808499999559,0,80,更多生活服务,other,10659170,生活服务,0
10660672,互康智能科技发展有限公司,121.379950000027,31.1073399999684,0,80,公司企业,other,10660672,生活服务,0
10661435,上海旅游咨询中心,121.4903393,31.23976948,30,80,旅行社,other,10661435,生活服务,1
10661557,金棕榈国际旅行社,121.430160000112,31.167880000035,30,80,旅行社,other,10661557,生活服务,0
10662161,中国建设银行,121.5192996,31.29120439,30,80,营业网点,other,1883794,生活服务,16
10662183,子星数码影像,121.59275,31.28034,30,80,快照,other,2987617,生活服务,6
11546761,中国银行,121.417933,31.237442,30,80,营业网点,other,1883803,生活服务,45
