shopId,shopName,shopGlng,shopGlat,shopPower,shopType,mainCategoryName,categoryURLName,shopGroupId,categoryName,comNum
10017328,海上明珠国际影城,121.411722,31.232233,50,25,电影院,movie,4287352,电影演出赛事,8626
10327961,横店电影城,121.374916,31.272334,40,25,NULL,NULL,NULL,NULL,2185
10662179,石泉社区文化活动中心,121.42744,31.25348,35,25,艺术中心/文化广场,movie,10662179,电影演出赛事,6
11551161,星空剧院,121.19846,31.03387,35,25,剧场/剧院,movie,11551161,电影演出赛事,16
11556639,上海米格国际影城,121.228523,31.152079,45,25,电影院,movie,11556639,电影演出赛事,760
12594951,环球港演艺空间,121.412439,31.233119,40,25,演出场馆,movie,12594951,电影演出赛事,18
13686621,兰心大剧院,121.51440999991,31.239300000016,35,25,剧场/剧院,movie,13686621,电影演出赛事,8
13686622,叮当儿童剧院,121.51509,31.2396,35,25,剧场/剧院,movie,13686622,电影演出赛事,11
13719726,念剧场,121.44108,31.2136,35,25,剧场/剧院,movie,13719726,电影演出赛事,4
13726374,美亚影城,121.26850050650485,31.326759207438272,50,25,电影院,movie,13726374,电影演出赛事,2138
13763366,世纪沪星影城,121.339114,31.162515,50,25,电影院,movie,13763366,电影演出赛事,3551
13837692,大光明影城,121.494712,31.196283,45,25,电影院,movie,1796971,电影演出赛事,916
13929837,Rock0093,121.4715,31.19807,0,25,演出场馆,movie,13929837,电影演出赛事,0
15032459,上海多媒体产业园会展中心,121.417972,31.217826,0,25,演出场馆,movie,15032459,电影演出赛事,0
15032470,逸夫会堂,121.4834773763,31.276081000434,0,25,音乐厅/礼堂,movie,15032470,电影演出赛事,0
15032472,中国福利会儿童艺术剧场,121.457506,31.223528,0,25,剧场/剧院,movie,15032472,电影演出赛事,0
15092968,百美汇影城,121.449306,31.22371,50,25,电影院,movie,15092968,电影演出赛事,2911
15099158,星濠国际影城,121.241174,31.017729,35,25,电影院,movie,15099158,电影演出赛事,301
15617342,华侨城大剧院,121.214554,31.094133,35,25,剧场/剧院,movie,15617342,电影演出赛事,8
15867457,上海银兴菲林国际影城,121.256611,31.382214,45,25,电影院,movie,15867457,电影演出赛事,1990
16007312,太禾影城,121.50454,31.095316,50,25,电影院,movie,16007312,电影演出赛事,1867
16009404,保利国际影城,121.655919,31.266442,50,25,电影院,movie,16009404,电影演出赛事,1538
16120196,碧江立体声影剧院,121.40232,31.006708,35,25,剧场/剧院,movie,16120196,电影演出赛事,2
16592997,戏曲学会上海戏剧学院艺术教育专业陶冶教育剧场分部,121.42602023655,31.213264702691,0,25,剧场/剧院,movie,16592997,电影演出赛事,0
16606361,小天使剧场,121.240423,31.381238,0,25,剧场/剧院,movie,16606361,电影演出赛事,0
16677137,永乐小礼堂,121.29206,31.29292,0,25,音乐厅/礼堂,movie,16677137,电影演出赛事,0
17144301,太平洋影城,121.216863,31.032796,50,25,电影院,movie,17144301,电影演出赛事,2471
17191096,上海保利大剧院,121.264094,31.353926,50,25,剧场/剧院,movie,17191096,电影演出赛事,274
17203619,金谊华夏影城,121.512285,31.141596,45,25,电影院,movie,17203619,电影演出赛事,2459
17378833,上海京剧院,121.447738,31.174358,40,25,剧场/剧院,movie,17378833,电影演出赛事,31
17735340,兰馨.悦立方,121.51487,31.226331,50,25,电影院,movie,17735340,电影演出赛事,3929
17941971,丫丫兔艺术剧团,121.434216,31.214384,30,25,其他电影演出赛事,movie,17941971,电影演出赛事,2
1795150,SFC上影影城,121.439927,31.193416,50,25,电影院,movie,NULL,NULL,13229
1795153,星美国际影城,121.500143,31.237399,45,25,电影院,movie,1795153,电影演出赛事,21210
1796965,UME国际影城,121.475412,31.219303,45,25,电影院,movie,1796965,NULL,4175
1796971,大光明电影院,121.471,31.233,45,25,电影院,movie,1796971,电影演出赛事,15920
