shopId,shopName,shopGlng,shopGlat,shopPower,shopType,mainCategoryName,categoryURLName,shopGroupId,categoryName,comNum
10005888,上外贸一食堂,121.214940000062,31.049650000057,35,10,快餐简餐,food,10005888,美食,8
10005965,Mr.Pizza米斯特比萨,121.559517,31.225962,40,10,比萨,food,6264064,美食,1101
10008090,香三荷精致中式快餐,121.23261,31.00489,35,10,快餐简餐,food,10008090,美食,8
10008096,Chaumont,121.518376,31.228377,35,10,西式甜点,food,6009314,美食,23
10008863,塔顶泰国时尚餐厅,121.516042,31.156886,45,10,泰国菜,food,4523171,美食,2937
10008934,五芳斋,121.455678,31.263699,35,10,小吃,food,500571,美食,739
10009041,兰州正宗牛肉拉面,121.50091,31.25928,35,10,小吃快餐,food,10009041,美食,4
10009221,康长饭店,121.024503,30.894902,35,10,本帮菜,food,10009221,美食,1
10010435,元缘咖啡,121.174879,30.89317,35,10,咖啡厅,food,10010435,美食,10
10010528,金达莱经典韩式料理,121.55881,31.22762,35,10,韩国料理,NULL,NULL,NULL,30
10011696,宝岛便当,121.19902,31.049866,35,10,快餐简餐,food,5347089,美食,67
10011827,重庆大拇指麻辣烫,121.59769,31.26352,35,10,麻辣烫,food,10011827,美食,123
10012360,逸荟,121.488083,31.241539,45,10,粤菜馆,food,10012360,美食,807
10012605,尚品签成都串串料理,121.445829,31.323739,45,10,川菜/家常菜,food,10012605,NULL,2762
10012722,太平洋咖啡,121.228734,31.151578,40,10,咖啡厅,food,1892647,美食,392
10012831,海老寿司,121.5111,31.26161,35,10,寿司/简餐,food,6085783,美食,1611
10013870,鱼酷活鱼现烤,121.43833,31.190715,40,10,烤鱼,food,6301946,美食,4284
10014834,泰亭泰国时尚餐厅,121.523409,31.22766,45,10,泰国菜,food,5575891,美食,5635
10017033,来伊份,121.43851,31.24528,35,10,小吃快餐,food,505069,美食,11
10017191,稻香,121.45868,31.21622,35,10,粤菜馆,food,21732793,美食,23802
10018109,阿军宁波菜,121.54992,31.07461,35,10,宁波菜,food,10018109,美食,4
10018428,MR PANCAKE 松饼先生,121.478069999816,31.205870000057,40,10,西式简餐,food,4125360,美食,1274
10018897,小克勒羊蝎子,121.4007,31.156599,0,10,火锅,food,10018897,美食,299
10019273,唐屋面来香,121.54265,31.24263036,35,10,西北菜,food,10019273,美食,27
10019292,如意果,121.404815,31.211397,35,10,饮品,food,10019292,美食,21
10019949,星巴克,121.422860000197,31.2038999999852,35,10,星巴克,food,1889797,美食,126
10021108,渔水之家柴火菜饭,121.05364,31.113765,50,10,本帮江浙菜,food,10021108,美食,1239
