shopId,shopName,shopGlng,shopGlat,shopPower,shopType,mainCategoryName,categoryURLName,shopGroupId,categoryName,comNum
10016684,剑道明德馆,121.47136,31.21254,40,45,更多运动场馆,sports,10016684,运动健身,21
10348450,真一太极拳,121.408661379211,31.2764981609257,30,45,武术场馆,sports,10348434,运动健身,0
10348640,东英跆拳道馆,121.6312103,31.17868203,30,45,跆拳道馆,sports,79070161,运动健身,2
10349901,威尔士健身会所,121.226404,31.055469,40,45,健身房,sports,1795342,运动健身,188
10646544,威尔士健身会所,121.47414,31.218538,45,45,健身房,sports,1795342,运动健身,380
10668030,云伟功夫馆,121.3111801,31.15099073,30,45,武术场馆,sports,10668030,运动健身,0
10668188,金顺体育培训,121.457069999807,31.1934299999721,35,45,游泳馆,sports,10668179,运动健身,2
11547147,传奇跆拳道运动培训中心,121.445679579315,31.2828217758367,50,45,跆拳道馆,sports,69325163,运动健身,333
11550271,合气道上海合气会,121.540588,31.278872,40,45,武术其他,sports,11550271,运动健身,6
11551187,上海龙马健身馆,121.42925,31.17401,35,45,健身房,sports,11551187,运动健身,13
11556863,红黄蓝射箭馆,121.479696,31.272024,50,45,射箭馆,sports,67261568,运动健身,687
11557691,三林游泳馆,121.506045,31.181498,45,45,游泳馆,sports,11557691,运动健身,338
11561755,风云台球俱乐部,121.473433000053,31.2287180000072,35,45,桌球馆,sports,11561755,运动健身,19
11573780,奥缘体育公园,121.513946,31.241104,35,45,其他健身中心,sports,9737486,运动健身,92
11580229,上海周浦羽毛球馆,121.574395,31.104339,35,45,羽毛球馆,sports,11580229,运动健身,31
12596886,顶点运动馆,121.434841,31.305405,40,45,篮球场,sports,12596886,运动健身,24
12598620,147桌球房,121.6097,31.25324,35,45,桌球馆,sports,12598620,运动健身,4
12600382,绿苑五村体育运动场,121.2081613,31.2783493,35,45,篮球场,sports,12600382,运动健身,3
13669164,金桥红枫万豪健身房,121.591436449834,31.2444944500387,35,45,健身房,sports,13669164,运动健身,13
13669759,一支箭射箭馆,121.41398,31.09705,40,45,射箭馆,sports,57561858,运动健身,157
13689163,极真空手道,121.457979999834,31.3952300000015,35,45,武术场馆,sports,13689163,运动健身,1
13704902,品智健身会所,121.4114457,31.15169,30,45,其他健身中心,sports,2244472,运动健身,115
13708443,锐速篮球训练营,121.491199,31.274044,35,45,篮球场,sports,13708443,运动健身,0
13710142,全毅会,121.446031,31.267066,35,45,更多运动场馆,sports,13710142,运动健身,1
13715589,金仕堡健身安亭会所,121.161748,31.289161,30,45,健身房,sports,2244472,运动健身,52
13723078,浅水湾足球场,121.440825,31.249289,35,45,足球场,sports,13723078,运动健身,15
13725776,黑八桌球俱乐部,121.226,31.0073,35,45,桌球馆,sports,13725776,运动健身,3
13726389,七宝老街射箭,121.35388,31.15184,40,45,射箭馆,sports,13726389,运动健身,11
13747290,白领太极拳基础班培训,121.440734899959,31.1790452000035,35,NULL,NULL,NULL,NULL,NULL,69
13748092,外高桥喜来登健身中心泳池,121.588456,31.35062,40,45,游泳馆,sports,13748092,运动健身,12
13748152,八万人体育馆外场足球场,121.44019,31.182941,35,45,足球场,sports,13748152,运动健身,16
13775964,威尔士健身会所,121.34251,31.16279,40,45,健身房,sports,1795342,运动健身,376
13799609,DP-DigPotency潜能挖掘健身工作室,121.515759,31.307662,50,45,私教工作室,sports,67809299,运动健身,828
13818876,宏博羽毛球馆,121.3624,31.111832,50,45,羽毛球馆,sports,13818876,运动健身,238
13821055,奥体360培训中心报名处,121.41144,31.23389,20,45,羽毛球馆,sports,13821055,运动健身,40
13829500,雅典娜健身俱乐部,121.4770601,31.23441044,35,45,健身房,sports,13829500,运动健身,2
13830687,第九夜桌球会所,121.259694,31.367761,40,45,桌球馆,sports,13830687,运动健身,22
13831696,索菲特室外沙滩泳池,121.22456,31.11399974,35,45,游泳馆,sports,13831696,运动健身,19
13832761,梧桐城邦篮球场,121.4122432,31.28996622,35,45,篮球场,sports,13832761,运动健身,5
13846757,RIZAP莱札谱健康塑形专家,121.469702,31.230436,35,45,其他健身中心,sports,13846757,运动健身,19
13850472,威尔士健身会所,121.47824,31.27102,35,45,健身房,sports,1795342,运动健身,936
13876973,Reebok CrossFit MeWellness,121.44741,31.241586,35,45,其他健身中心,sports,13876973,运动健身,21
13885993,唐薇依乒乓馆,121.451732,31.228002,40,45,乒乓球馆,sports,13885993,运动健身,127
13890801,跆壹跆拳道俱乐部,121.429272,31.406862,35,45,跆拳道馆,sports,3253960,运动健身,8
13894137,美格菲健身中心,121.50403,31.20763,40,45,健身房,sports,1795324,运动健身,87
13909303,阿迪达斯羽毛球体验馆,121.338557,31.162249,35,45,羽毛球馆,sports,13909303,运动健身,20
13914739,中田健身工作室,121.50447,31.27323,45,45,私教工作室,sports,13914739,运动健身,219
13917310,蕴灏迷你高尔夫生活馆,121.42225,31.204112,35,45,高尔夫场,sports,13917310,运动健身,50
13920823,国际空手道连盟极真会馆宗家派,121.446301,31.323825,50,45,空手道馆,sports,11571519,运动健身,17
14064137,休闲网咖动漫台球,121.41711,31.08136,30,45,桌球馆,sports,14064137,运动健身,0
14064793,春发台球房,121.41028,31.00398,35,45,桌球馆,sports,14064793,运动健身,4
14065464,金家服务娱乐中心,121.32173,30.94154,30,45,其他健身中心,sports,14065464,运动健身,0
14065969,万赫国际健身会所,121.350555,31.088594,40,45,健身房,sports,14065969,运动健身,2
14065976,Billiards Club,121.39775,31.18873,30,45,其他健身中心,sports,14065976,运动健身,0
14066247,动感台球,121.512227,31.232473,35,45,桌球馆,sports,14066247,运动健身,5
14066502,阳光台球,121.53545,31.19925,30,45,桌球馆,sports,14066502,运动健身,0
14066589,空中球场,121.429499,31.203627,35,45,更多运动场馆,sports,14066589,运动健身,1
14066660,祥臻台球会所,121.27401,31.13082,30,45,桌球馆,sports,14066660,运动健身,0
14066690,花木镇培花新村老年门球场,121.55734,31.19172,30,45,更多运动场馆,sports,14066690,运动健身,0
14066717,休闲台球,121.37184,31.31109,30,45,桌球馆,sports,14066717,运动健身,0
14067150,久斯台球会所,121.44563,31.32114,35,45,桌球馆,sports,14067150,运动健身,4
14067274,金仁台球房,121.11885,30.98347,30,45,桌球馆,sports,14067274,运动健身,0
14067367,时空撞球馆,121.63942,31.29513,30,45,桌球馆,sports,14067367,运动健身,0
14067498,大宁路社区公共运动场,121.45561,31.27896,35,45,更多运动场馆,sports,14067498,运动健身,1
14067710,全能健康俱乐部,121.10906,31.15091,30,45,更多运动场馆,sports,14067710,运动健身,0
14067726,欣博美式台球,121.39619,31.3287,30,45,桌球馆,sports,14067726,运动健身,0
14067778,永久网球俱乐部,121.58006,31.329858,30,45,网球场,sports,14067778,运动健身,0
14068221,虹城游戏,121.38314,31.18429,30,45,其他健身中心,sports,14068221,运动健身,0
14068530,俊驰溜冰场,121.26437,31.08218,35,45,溜冰场,sports,14068530,运动健身,1
14068629,兴鸿台球,121.32894,31.12764,30,45,桌球馆,sports,14068629,运动健身,0
14068655,豪国梦乐台球名流会所,121.282059,31.336936,35,45,桌球馆,sports,14068655,运动健身,15
14068726,久斯台球城,121.42881,31.25616,30,45,桌球馆,sports,14068726,运动健身,3
14068728,华东化工学院凌云华理社区体育健身俱乐部,121.42012,31.14201,30,45,健身房,sports,14068728,运动健身,6
14068749,琦乐台球,121.406304,31.291139,30,45,桌球馆,sports,14068749,运动健身,1
14069096,华锦游戏房,121.42784,31.26433,30,45,其他健身中心,sports,14069096,运动健身,0
14069113,平和学校白领丽人跆拳道俱乐部,121.589536,31.239864,30,45,跆拳道馆,sports,14069113,运动健身,0
14069116,徽宁桌球,121.48952,31.21007,30,45,桌球馆,sports,14069116,运动健身,0
14069202,外联发体育健身中心,121.587381,31.350581,30,45,健身房,sports,14069202,运动健身,0
14069286,恒远羽毛球馆,121.58704,31.33923,30,45,羽毛球馆,sports,14069286,运动健身,5
