shopId,shopName,shopGlat,shopGlng,shopPower,shopType,mainCategoryName,categoryURLName,shopGroupId,categoryName,price,comNum
10005888,上外贸一食堂,31.049650000057,121.214940000062,35,10,快餐简餐,food,10005888,美食,13,8
10005965,Mr.Pizza米斯特比萨,31.225962,121.559517,40,10,比萨,food,6264064,美食,79,1101
10008090,香三荷精致中式快餐,31.00489,121.23261,35,10,快餐简餐,food,10008090,美食,13,8
10008096,Chaumont,31.228377,121.518376,35,10,西式甜点,food,6009314,美食,119,23
10008863,塔顶泰国时尚餐厅,31.156886,121.516042,45,10,泰国菜,food,4523171,美食,153,2937
10008934,五芳斋,31.263699,121.455678,35,10,小吃,food,500571,美食,25,739
10009041,兰州正宗牛肉拉面,31.25928,121.50091,35,10,小吃快餐,food,10009041,美食,13,4
10009221,康长饭店,30.894902,121.024503,35,10,本帮菜,food,10009221,美食,-,1
10010435,元缘咖啡,30.89317,121.174879,35,10,咖啡厅,food,10010435,美食,-,10
10010528,金达莱经典韩式料理,31.22762,121.55881,35,10,韩国料理,22,30
10011696,宝岛便当,31.049866,121.19902,35,10,快餐简餐,food,5347089,美食,16,67
10011827,重庆大拇指麻辣烫,31.26352,121.59769,35,10,麻辣烫,food,10011827,美食,19,123
10012360,逸荟,31.241539,121.488083,45,10,粤菜馆,food,10012360,美食,420,807
10012605,尚品签成都串串料理,31.323739,121.445829,45,10,川菜/家常菜,food,10012605,63,2762
10012722,太平洋咖啡,31.151578,121.228734,40,10,咖啡厅,food,1892647,美食,33,392
10012831,海老寿司,31.26161,121.5111,35,10,寿司/简餐,food,6085783,美食,109,1611
10013870,鱼酷活鱼现烤,31.190715,121.43833,40,10,烤鱼,food,6301946,美食,91,4284
10014834,泰亭泰国时尚餐厅,31.22766,121.523409,45,10,泰国菜,food,5575891,美食,152,5635
10017033,来伊份,31.24528,121.43851,35,10,小吃快餐,food,505069,美食,35,11
10017191,稻香,31.21622,121.45868,35,10,粤菜馆,food,21732793,美食,97,23802
10018109,阿军宁波菜,31.07461,121.54992,35,10,宁波菜,food,10018109,美食,-,4
10018428,MR PANCAKE 松饼先生,31.205870000057,121.478069999816,40,10,西式简餐,food,4125360,美食,80,1274
10018897,小克勒羊蝎子,31.156599,121.4007,0,10,火锅,food,10018897,美食,78,299
10019273,唐屋面来香,31.24263036,121.54265,35,10,西北菜,food,10019273,美食,20,27
10019292,如意果,31.211397,121.404815,35,10,饮品,food,10019292,美食,18,21
10019949,星巴克,31.2038999999852,121.422860000197,35,10,星巴克,food,1889797,美食,37,126
10021108,渔水之家柴火菜饭,31.113765,121.05364,50,10,本帮江浙菜,food,10021108,美食,73,1239
10021203,碧悦坊,31.280468,121.59352,35,10,本帮菜,food,10021203,美食,47,22
10021400,兵兵烧烤,30.910961,121.457553,35,10,烧烤,food,10021400,美食,-,9
10021663,菁菁老鸭粉丝馆,31.074135,121.549145,35,10,小吃快餐,food,10021663,美食,-,7
10022263,旺池川菜,31.237015,121.499766,45,10,川菜/家常菜,food,1963000,美食,89,7101
10022273,旺池川菜,31.186667,121.458114,40,10,川菜/家常菜,food,1963000,美食,89,3921
10022667,快乐柠檬,31.220717,121.529627,35,10,饮品,food,1917097,美食,11,359
10023019,illy,31.19213,121.541432,30,10,咖啡厅,food,569976,美食,14,68
10023167,寶珠奶酪,31.26161,121.5111,40,10,港台甜品,food,4100052,美食,30,1218
10089429,川福园骨煲,31.34682,121.57283,30,10,重庆火锅,food,10089429,美食,64,24
10297572,正宗贵州黄牛肉馆,30.91502243,121.4472702,35,10,火锅,food,10297572,美食,44,11
10324892,阅云阁烧烤涮,31.218659,121.283087,35,10,烧烤,food,10324892,美食,-,3
10329231,茶马颐苑云南时尚料理,31.18675,121.45813,40,10,云南菜,food,10329231,美食,117,6253
10329673,黑珍珠,30.88663,121.31628,30,10,快餐简餐,food,506894,美食,-,9
10330896,点点心港式茶餐,31.250352,121.487165,40,10,茶餐厅,food,8619690,美食,76,3979
